variant,id,turnover,etv
Control,1027682,568.0297,42.30839887261391
Target,4734065,50.0,20.184500455856323
Target,2881231,144.0,19.92850029282272
Control,2578804,0.0,0.0
Target,1417962,0.0,0.0
Control,5358016,431.68,0.0
Control,6458189,0.0,0.0
Target,2078608,0.0,0.0
Target,7606347,0.0,0.0
Control,3783210,0.0,0.0
Target,7357003,0.0,0.0
Control,5013603,0.0,0.0
Target,5343115,120.0,18.488599956035618
Target,4633444,80.0004,-7.014799892902374
Control,4977690,20.0002,1.7930999994277954
Target,5178425,494.0001,84.34130039811134
Control,4343311,1510.2001,-163.27710288763046
Target,1095545,70.0,9.646100401878355
Control,2925229,80.0,-4.122200012207031
Target,3863600,0.0,0.0
Control,1996318,5.02,1.3031000052578747
Target,4383748,0.0,0.0
Target,3859632,455.0,26.20600119233131
Control,4296933,0.0,0.0
Target,2265174,578.04,27.12829977273941
Control,3303314,10.0001,4.197100043296814
Target,5228304,0.0,0.0
Target,1025670,0.0,0.0
Target,291629,100.0,-22.907699584960938
Target,2054054,0.0,0.0
Control,2476682,66.0,10.55830004485324
Target,3188551,5.0,1.5313999652862549
Target,3105433,118.76,24.903100040275604
Control,5074949,45.48,8.434600055217743
Control,5242198,85.0,17.89580011367798
Control,2271471,0.0,0.0
Control,4882559,0.0,0.0
Control,6403847,0.0,0.0
Target,7932641,0.0,0.0
Target,8231534,0.0,0.0
Target,4064726,103.0,20.18810034915805
Target,7471893,0.0,0.0
Target,2778604,0.0,0.0
Target,4497099,0.0,0.0
Target,7395656,0.0,0.0
Control,2294723,0.0,0.0
Control,3447156,0.0,0.0
Control,3016130,0.0,0.0
Control,5386945,360.0,62.23040075041354
Control,2488191,105.99,18.763299882411957
Target,572142,765.9599,101.86340016126633
Control,872426,0.0,0.0
Target,5375302,175.0004,2.8203998804092407
Target,5349620,5.5,0.5218999981880188
Control,3245758,35.0,12.591300010681152
Control,7957422,0.0,0.0
Control,325924,69.4,1.81950019299984
Target,5031728,288.48,24.448399898596108
Control,5393822,0.0,0.0
Target,1549732,50.0004,9.243000030517578
Target,7499237,12.56,1.6049000257626176
Control,7755413,0.0,0.0
Target,720934,0.0,0.0
Control,2782071,0.0,0.0
Target,4892772,0.0,0.0
Target,5451536,0.0,0.0
Control,2658244,658.0,136.73120152950287
Control,7339014,159.0,31.354299068450928
Control,1674337,245.0,86.45000037550926
Target,1183862,0.0,0.0
Target,4197887,0.0,0.0
Control,5242748,1.6664,0.0956000015139579
Target,2533958,0.0,0.0
Target,720934,0.0,0.0
Target,7497960,64.0,17.234700083732605
Control,6620771,219.52,29.52589980326593
Control,7849502,0.0,0.0
Control,6804648,175.0006,53.01480025053024
Control,4635830,0.0,0.0
Control,3902366,102.5,15.5003002602607
Target,4703034,0.0,0.0
Control,1613745,342.9001,11.606700368225574
Control,3181284,34.9988,7.152599811553955
Control,8628616,112.5001,22.612699896097183
Target,5363306,116.0,-12.890800297260284
Target,3765781,0.0,0.0
Target,976958,65.0004,12.978900104761124
Control,5030459,369.52,34.348200023174286
Control,4678754,31.4,4.093599930405617
Target,5023095,0.0,0.0
Control,2484807,46.79,4.114900030195713
Target,1961047,200.0,-28.795101165771484
Target,3599352,0.0,0.0
Target,5375276,10.0,-1.3549000024795532
Target,5566556,0.0,0.0
Control,4714624,25.0,6.926400184631348
Control,2464516,0.0,0.0
Control,7312115,0.0,0.0
Target,2556171,285.99,48.68170007877052
Control,5090724,176.32,9.030599981546402
Target,4412899,115.97,23.332200214266777
Target,4047284,160.0002,-1.344700038433075
Target,5365704,0.0,0.0
Target,1643723,50.0,11.943699836730955
Target,7163347,116.2933,16.522600004449487
Target,8366245,0.0,0.0
Target,7906625,414.61,-5.57659912109375
Control,8272444,1629.49,67.11599816288799
Control,518036,0.0,0.0
Target,5406680,0.0,0.0
Target,7618548,68.94,4.0964997708797455
Control,2544324,0.0,0.0
Target,3822272,0.0,0.0
Target,5408977,0.0,0.0
Target,3083961,0.0,0.0
Control,318105,0.0,0.0
Target,2598995,0.0,0.0
Control,7011399,90.0,21.31559991836548
Control,1363960,0.0,0.0
Control,3348772,0.0,0.0
Control,6918075,1.99,1.069000005722046
Target,1154048,0.0,0.0
Control,5295609,20.0,9.692699790000916
Target,1481280,0.0,0.0
Control,1374469,100.0001,13.845199823379517
Control,1416143,0.0,0.0
Target,5346883,0.0,0.0
Control,1378522,0.0,0.0
Target,4414642,0.0,0.0
Control,5055436,124.0,29.288999936543405
Target,883706,0.0,0.0
Target,2188560,0.0,0.0
Target,4699836,170.0,37.97389938717242
Control,530371,0.0,0.0
Control,5370325,0.0,0.0
Control,2847246,0.0,0.0
Control,7514188,47.0009,25.056799590587616
Control,288305,0.0,0.0
Target,1414924,1517.8004,246.7446973323822
Control,2494489,0.0,0.0
Target,2110691,884.9395,85.01740097999573
Control,3803124,0.0,0.0
Control,5382608,300.0,15.96480119228363
Control,4670244,124.32,12.598599955439568
Target,2212905,50.38,5.725599987432361
Control,3691749,0.0,0.0
Target,340512,743.39,22.258801568299532
Control,6400595,67.32,8.222399972379208
Control,1845216,0.0,0.0
Control,4965625,66.0,31.38139915466309
Target,7969810,800.0,51.04189866781235
Control,7639714,69.4319,22.60459965467453
Target,3892995,0.0,0.0
Target,8260186,0.0,0.0
Control,5354918,0.0,0.0
Control,8015538,35.0,15.756200075149536
Control,8386394,0.0,0.0
Control,2188006,188.0,20.92829978466034
Control,1563988,170.0002,38.302799701690674
Target,2049521,20.0,1.861799955368042
Control,5315032,0.0,0.0
Target,4395418,0.0,0.0
Control,7340395,0.0,0.0
Control,6485499,0.0,0.0
Control,852378,0.0,0.0
Control,4360636,28.48,-13.83830028772354
Target,4639343,0.0,0.0
Target,4112919,0.0,0.0
Target,2620874,0.0,0.0
Target,2773166,116.0,11.79909985512495
Target,7532396,0.0,0.0
Control,7021833,0.0,0.0
Control,768377,52.0,14.731599882245064
Target,3350313,0.0,0.0
Target,1967759,25.0002,1.7098000049591064
Target,2854315,595.5,79.622199639678
Control,1232687,42.5,-8.996399879455566
Control,4213076,0.0,0.0
Target,6487016,0.0,0.0
Control,2104555,0.0,0.0
Control,1465283,0.0,0.0
Target,1141142,0.0,0.0
